split,retriever,recall@1,recall@3,recall@5,recall@10,mrr,n_queries
dev (validation),tfidf,0.5714,0.6429,0.7857,0.8571,0.6472,14
dev (validation),semantic,0.4286,0.7143,0.7143,0.7857,0.5675,14
dev (validation),bm25,0.5,0.7143,0.8571,0.8571,0.6238,14
dev (validation),hybrid_rrf,0.5,0.6429,0.7857,0.9286,0.6263,14
dev (validation),hybrid_weighted,0.5,0.7857,0.7857,0.8571,0.6429,14
test (held-out),tfidf,0.4231,0.7692,0.8462,0.8462,0.6026,26
test (held-out),semantic,0.5,0.6923,0.7308,0.7692,0.5846,26
test (held-out),bm25,0.5,0.6154,0.8077,0.8846,0.6055,26
test (held-out),hybrid_rrf,0.5769,0.8077,0.8077,0.8462,0.6902,26
test (held-out),hybrid_weighted,0.5769,0.6923,0.8077,0.8462,0.6587,26
all,tfidf,0.475,0.725,0.825,0.85,0.6182,40
all,semantic,0.475,0.7,0.725,0.775,0.5786,40
all,bm25,0.5,0.65,0.825,0.875,0.6119,40
all,hybrid_rrf,0.55,0.75,0.8,0.875,0.6678,40
all,hybrid_weighted,0.55,0.725,0.8,0.85,0.6532,40
